"INDICATOR - Simple average of simple averages"
"ORIGIN - World"
"DUTY TYPE - Most favoured nation rate (MFN rate)"

,YEAR,"1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"China, Taiwan Province of","Chemical products","..",9.050000000000001,"..","..",7.74,"..","..","..",4.04,3.96,3.97,4.1,3.96,3.96,3.8,3.54,3.02,2.93,2.98,2.92,2.89,2.93,2.93,"..",2.92,"..",2.96,2.97,2.98,2.98
"China, Taiwan Province of","Machinery and transport equipment","..",11.61,"..","..",6.76,"..","..","..",6.49,6.16,6.17,6.59,5.96,5.95,5.7,5.15,4.48,4.41,4.34,4.03,4.01,4.02,4.02,"..",3.88,"..",3.89,3.89,3.87,3.8
"China, Taiwan Province of","Other manufactured goods","..",10.85,"..","..",8.15,"..","..","..",7.7,7.56,7.56,7.76,7.53,7.53,7.36,6.44,5.53,5.47,5.4,5.39,5.4,5.37,5.37,"..",5.36,"..",5.36,5.36,5.36,5.34
"Colombia","Manufactured goods, ores and metals","..","..","..",6.25,12.01,"..",12.01,13.54,11.7,11.7,11.74,11.77,11.78,11.78,11.8,11.79,11.8,11.78,11.78,11.78,11.74,11.72,11.73,7.21,5.06,5.11,4.62,3.65,3.7,7.54
"Colombia","Ores and metals","..","..","..",2.22,6.72,"..",6.72,7.14,6.38,6.38,6.38,6.38,6.39,6.39,6.33,6.32,6.32,6.3,6.3,6.3,6.3,6.28,6.28,4.84,1.23,0.71,0.47,0.38,0.4,4.97
"Colombia","Manufactured goods","..","..","..",6.53,12.37,"..",12.37,13.97,12.05,12.05,12.09,12.13,12.13,12.13,12.17,12.16,12.17,12.15,12.16,12.15,12.11,12.09,12.09,7.36,5.31,5.41,4.9,3.89,3.94,7.72
"Colombia","Chemical products","..","..","..",3.52,8.35,"..",8.289999999999999,10.71,7.84,7.84,7.87,7.99,8,8,7.98,7.97,7.97,7.98,7.98,7.97,7.98,7.87,7.85,5.43,2.37,2.54,2.19,2.09,2.11,5.61
"Colombia","Machinery and transport equipment","..","..","..",5.1,10.21,"..",10.26,12.65,9.82,9.82,9.859999999999999,9.869999999999999,9.880000000000001,9.880000000000001,9.869999999999999,9.869999999999999,9.890000000000001,9.82,9.800000000000001,9.800000000000001,9.69,9.76,9.810000000000001,6.48,3.68,3.42,3.04,2.83,2.89,6.58
"Colombia","Other manufactured goods","..","..","..",8.34,14.89,"..",14.82,15.78,14.65,14.65,14.7,14.71,14.72,14.72,14.8,14.79,14.8,14.8,14.81,14.81,14.81,14.79,14.78,8.529999999999999,7.2,7.44,6.82,5.27,5.32,9.07
"Comoros","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",12.46,"..",12.46,12.46,8.67,16.29,16.81,16.29,"..",16.85
"Comoros","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",14.8,"..",14.8,14.8,10.63,19.72,19.79,19.72,"..",19.79
"Comoros","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",12.3,"..",12.3,12.3,8.539999999999999,16.05,16.61,16.05,"..",16.65
"Comoros","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13.6,"..",13.6,13.6,9.390000000000001,17.93,17.96,17.93,"..",18.13
"Comoros","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13.69,"..",13.69,13.69,6.63,17.54,17.29,17.54,"..",17.29
"Comoros","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11.19,"..",11.19,11.19,9.01,14.68,15.77,14.68,"..",15.77
"Congo","Manufactured goods, ores and metals","..","..","..","..","..","..",17.41,"..","..",15.3,"..","..","..",17.29,17.29,17.41,17.41,17.3,17.41,17.03,16.91,16.91,16.91,16.91,"..",17,16.98,11.49,"..",".."
"Congo","Ores and metals","..","..","..","..","..","..",13.63,"..","..",10.9,"..","..","..",11.71,11.69,11.66,11.66,11.79,11.66,11.86,11.82,11.82,11.82,11.82,"..",11.87,11.87,7.96,"..",".."
"Congo","Manufactured goods","..","..","..","..","..","..",17.67,"..","..",15.59,"..","..","..",17.66,17.65,17.8,17.8,17.67,17.8,17.38,17.25,17.25,17.25,17.25,"..",17.34,17.32,11.73,"..",".."
"Congo","Chemical products","..","..","..","..","..","..",11.07,"..","..",6.91,"..","..","..",10.76,10.76,10.92,10.92,10.99,10.92,10.73,10.7,10.7,10.7,10.7,"..",10.74,10.74,6.7,"..",".."
"Congo","Machinery and transport equipment","..","..","..","..","..","..",14.13,"..","..",13.06,"..","..","..",14,14,14.03,14.03,14.07,14.03,13.81,13.8,13.8,13.8,13.8,"..",13.85,13.83,8.17,"..",".."
"Congo","Other manufactured goods","..","..","..","..","..","..",21.74,"..","..",20.07,"..","..","..",21.93,21.93,22.12,22.12,21.85,22.12,21.59,21.37,21.37,21.37,21.37,"..",21.53,21.53,15.33,"..",".."
"Costa Rica","Manufactured goods, ores and metals","..","..","..","..","..","..","..",9.460000000000001,10.38,8.119999999999999,6.17,5.43,4.55,4.5,4.82,5.45,4.84,4.83,5.47,4.75,5.38,4.4,4.39,4.38,4.35,4.35,4.36,"..",4.36,".."
"Costa Rica","Ores and metals","..","..","..","..","..","..","..",5.78,5.72,2.49,1.48,1.33,1.35,1.34,1,1.95,1,1,1.95,1,1.95,0.95,0.95,0.95,0.93,0.93,0.93,"..",0.93,".."
"Costa Rica","Manufactured goods","..","..","..","..","..","..","..",9.710000000000001,10.7,8.48,6.48,5.7,4.76,4.71,5.07,5.69,5.1,5.09,5.71,5,5.61,4.63,4.62,4.61,4.58,4.58,4.59,"..",4.59,".."
"Costa Rica","Chemical products","..","..","..","..","..","..","..",5.8,5.67,2.6,1.52,1.41,1.28,1.28,1.4,2.32,1.4,1.4,2.32,1.51,2.41,1.41,1.4,1.35,1.38,1.37,1.37,"..",1.37,".."
"Costa Rica","Machinery and transport equipment","..","..","..","..","..","..","..",4.61,5.82,5.43,3.5,2.45,2.05,2.03,2.2,2.87,2.32,2.18,2.88,2.04,2.7,1.78,1.77,1.78,1.75,1.73,1.75,"..",1.75,".."
"Costa Rica","Other manufactured goods","..","..","..","..","..","..","..",13.35,14.68,12.1,9.699999999999999,8.779999999999999,7.29,7.21,7.75,8.210000000000001,7.75,7.8,8.26,7.68,8.15,7.16,7.15,7.14,7.13,7.14,7.14,"..",7.14,".."
"Côte d'Ivoire","Manufactured goods, ores and metals","..","..","..","..","..",4.87,"..","..",4.83,"..","..","..","..",11.79,11.75,11.73,11.74,11.75,11.75,11.63,11.63,11.63,11.63,11.61,11.61,11.61,11.61,11.51,11.51,11.52
"Côte d'Ivoire","Ores and metals","..","..","..","..","..",4.94,"..","..",4.94,"..","..","..","..",7.49,7.51,7.25,7.36,7.36,7.36,7.21,7.18,7.21,7.21,7.19,7.19,7.19,7.19,7.17,7.17,7.17
"Côte d'Ivoire","Manufactured goods","..","..","..","..","..",4.87,"..","..",4.82,"..","..","..","..",12.07,12.02,12.04,12.04,12.05,12.05,11.93,11.93,11.93,11.93,11.91,11.91,11.91,11.9,11.81,11.81,11.82
"Côte d'Ivoire","Chemical products","..","..","..","..","..",4.68,"..","..",4.69,"..","..","..","..",6.43,6.43,6.43,6.43,6.43,6.43,6.51,6.51,6.51,6.51,6.42,6.42,6.42,6.42,6.66,6.66,6.71
"Côte d'Ivoire","Machinery and transport equipment","..","..","..","..","..",4.94,"..","..",4.68,"..","..","..","..",8.550000000000001,8.539999999999999,8.6,8.58,8.58,8.59,8.33,8.33,8.33,8.33,8.32,8.32,8.32,8.32,8.17,8.17,8.19
"Côte d'Ivoire","Other manufactured goods","..","..","..","..","..",4.91,"..","..",4.93,"..","..","..","..",15.8,15.71,15.72,15.73,15.75,15.75,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.66,15.49,15.49,15.48
"Croatia","Manufactured goods, ores and metals","_","_","_","_","..","..","..","..","..","..","..","..","..",10.08,4.25,4.07,3.96,3.86,3.94,3.97,3.96,3.96,3.95,3.95,3.95,3.94,4,4.01,3.96,3.96
"Croatia","Ores and metals","_","_","_","_","..","..","..","..","..","..","..","..","..",5.54,1.6,1.55,1.51,1.47,1.47,1.45,1.43,1.43,1.43,1.43,1.44,1.38,1.57,1.57,1.57,1.57
"Croatia","Manufactured goods","_","_","_","_","..","..","..","..","..","..","..","..","..",10.37,4.43,4.24,4.13,4.03,4.1,4.14,4.13,4.13,4.12,4.12,4.11,4.11,4.17,4.17,4.12,4.13
"Croatia","Chemical products","_","_","_","_","..","..","..","..","..","..","..","..","..",7.11,1.56,1.39,1.31,1.24,1.26,1.26,1.26,1.26,1.24,1.25,1.24,1.24,5.14,5.16,5.16,5.13
"Croatia","Machinery and transport equipment","_","_","_","_","..","..","..","..","..","..","..","..","..",8.84,3.34,3.24,3.16,3.1,3.28,3.37,3.37,3.36,3.36,3.36,3.37,3.37,2.27,2.27,2.16,2.19
"Croatia","Other manufactured goods","_","_","_","_","..","..","..","..","..","..","..","..","..",12.31,6.03,5.8,5.65,5.52,5.58,5.64,5.61,5.61,5.61,5.61,5.61,5.61,4.59,4.6,4.55,4.56
"Cuba","Manufactured goods, ores and metals","..","..","..","..","..",12.8,"..","..",11.23,11.12,11.23,11.15,11.15,11.3,11.19,11.27,11.21,11.2,11.19,11.17,11.16,11.09,11.09,11.09,11.1,10.6,"..",10.6,10.59,10.59
"Cuba","Ores and metals","..","..","..","..","..",5.6,"..","..",5.34,5.34,5.34,5.28,5.28,5.28,5.25,5.07,5.07,5.07,5.05,5.05,5.05,4.96,4.96,4.96,4.96,4.96,"..",4.96,4.96,4.96
"Cuba","Manufactured goods","..","..","..","..","..",13.29,"..","..",11.62,11.5,11.62,11.54,11.53,11.69,11.57,11.69,11.63,11.62,11.61,11.59,11.58,11.5,11.5,11.5,11.51,10.98,"..",10.97,10.97,10.97
"Cuba","Chemical products","..","..","..","..","..",11.25,"..","..",9.44,9.460000000000001,9.44,9.199999999999999,9.210000000000001,9.220000000000001,9.220000000000001,9.199999999999999,9.119999999999999,9.109999999999999,9.07,9.029999999999999,9.01,9.140000000000001,9.140000000000001,9.140000000000001,9.16,9.16,"..",9.130000000000001,9.130000000000001,9.130000000000001
"Cuba","Machinery and transport equipment","..","..","..","..","..",11,"..","..",9.85,9.83,9.85,9.810000000000001,9.85,9.93,9.92,9.970000000000001,9.93,9.93,9.93,9.93,9.93,9.810000000000001,9.810000000000001,9.810000000000001,9.810000000000001,9.810000000000001,"..",9.84,9.84,9.84
"Cuba","Other manufactured goods","..","..","..","..","..",15.04,"..","..",13.22,13.02,13.22,13.19,13.17,13.41,13.2,13.41,13.35,13.33,13.32,13.3,13.3,13.18,13.18,13.18,13.18,12.2,"..",12.22,12.22,12.22
"Cyprus","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",12.56,9.279999999999999,5.33,4.91,4.41,4.63,4.5,"..",4.08,4.07,4.06,3.86,3.86,3.86,4.04,4.03,4.02,4.01,4,4.01,3.96,3.96
"Cyprus","Ores and metals","..","..","..","..","..","..","..","..",3.34,2.64,1.77,1.58,1.56,1.58,1.58,"..",1.63,1.59,1.59,1.58,1.56,1.56,1.56,1.56,1.57,1.57,1.57,1.57,1.57,1.57
"Cyprus","Manufactured goods","..","..","..","..","..","..","..","..",13.16,9.710000000000001,5.57,5.13,4.6,4.83,4.69,"..",4.25,4.24,4.23,4.02,4.01,4.01,4.2,4.2,4.18,4.18,4.17,4.17,4.12,4.13
"Cyprus","Chemical products","..","..","..","..","..","..","..","..",12.47,10.9,7.16,6.79,4.97,6.11,5.78,"..",5.2,5.23,5.22,4.41,4.39,4.33,5.19,5.16,5.14,5.13,5.14,5.16,5.16,5.13
"Cyprus","Machinery and transport equipment","..","..","..","..","..","..","..","..",6.52,4.95,2.97,2.43,2.35,2.34,2.31,"..",2.27,2.26,2.22,2.27,2.27,2.26,2.26,2.27,2.27,2.28,2.27,2.27,2.16,2.19
"Cyprus","Other manufactured goods","..","..","..","..","..","..","..","..",16.31,11.3,6.07,5.64,5.43,5.4,5.28,"..",4.71,4.69,4.68,4.61,4.61,4.63,4.63,4.64,4.62,4.61,4.59,4.6,4.55,4.56
"Czechia","Manufactured goods, ores and metals","_","_","_","_","_","..","..","..",5.92,5.4,5.13,5.23,4.61,4.56,4.47,4.47,4.08,4.07,4.06,3.86,3.86,3.86,4.04,4.03,4.02,4.01,4,4.01,3.96,3.96
"Czechia","Ores and metals","_","_","_","_","_","..","..","..",1.6,1.56,1.53,2.18,1.25,1.25,1.19,1.19,1.63,1.59,1.59,1.58,1.56,1.56,1.56,1.56,1.57,1.57,1.57,1.57,1.57,1.57
"Czechia","Manufactured goods","_","_","_","_","_","..","..","..",6.22,5.65,5.36,5.43,4.83,4.78,4.7,4.7,4.25,4.24,4.23,4.02,4.01,4.01,4.2,4.2,4.18,4.18,4.17,4.17,4.12,4.13
"Czechia","Chemical products","_","_","_","_","_","..","..","..",5.34,4.74,4.54,4.53,4.22,4.22,4.13,4.13,5.2,5.23,5.22,4.41,4.39,4.33,5.19,5.16,5.14,5.13,5.14,5.16,5.16,5.13
"Czechia","Machinery and transport equipment","_","_","_","_","_","..","..","..",5.62,5,4.61,5.84,3.96,3.89,3.83,3.83,2.27,2.26,2.22,2.27,2.27,2.26,2.26,2.27,2.27,2.28,2.27,2.27,2.16,2.19
"Czechia","Other manufactured goods","_","_","_","_","_","..","..","..",6.81,6.29,6,5.6,5.45,5.38,5.29,5.29,4.71,4.69,4.68,4.61,4.61,4.63,4.63,4.64,4.62,4.61,4.59,4.6,4.55,4.56
"Czechoslovakia","Manufactured goods, ores and metals","..","..","..","..",8.880000000000001,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Czechoslovakia","Ores and metals","..","..","..","..",1.62,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Czechoslovakia","Manufactured goods","..","..","..","..",9.369999999999999,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Czechoslovakia","Chemical products","..","..","..","..",5.22,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Czechoslovakia","Machinery and transport equipment","..","..","..","..",11.33,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Czechoslovakia","Other manufactured goods","..","..","..","..",10.15,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Dem. Rep. of the Congo","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11.78,"..","..",11.79,11.79,11.79,11.79,10.89,"..","..","..",10.88,"..","..",".."
"Dem. Rep. of the Congo","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8.84,"..","..",8.84,8.84,8.84,8.84,7.58,"..","..","..",7.59,"..","..",".."
"Dem. Rep. of the Congo","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11.98,"..","..",11.99,11.99,11.99,11.99,11.11,"..","..","..",11.1,"..","..",".."
"Dem. Rep. of the Congo","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7.86,"..","..",7.88,7.88,7.88,7.88,7.1,"..","..","..",7.13,"..","..",".."
"Dem. Rep. of the Congo","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8.310000000000001,"..","..",8.310000000000001,8.310000000000001,8.310000000000001,8.310000000000001,8.09,"..","..","..",8.15,"..","..",".."
"Dem. Rep. of the Congo","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",15.18,"..","..",15.18,15.18,15.18,15.18,14.03,"..","..","..",14,"..","..",".."
"Denmark","Manufactured goods, ores and metals",5.81,5.8,8.140000000000001,6.73,6.83,6.78,6.73,6.29,5.39,5.5,4.92,4.51,4.35,4.4,4.56,4.33,4.08,4.07,4.06,3.86,3.86,3.86,4.04,4.03,4.02,4.01,4,4.01,3.96,3.96
"Denmark","Ores and metals",2.53,2.47,2.54,2.54,2.54,2.54,2.54,2.33,1.97,1.96,1.77,1.59,1.59,1.59,1.59,1.59,1.63,1.59,1.59,1.58,1.56,1.56,1.56,1.56,1.57,1.57,1.57,1.57,1.57,1.57
"Denmark","Manufactured goods",6.08,6.08,8.52,7.02,7.12,7.07,7.01,6.56,5.61,5.73,5.12,4.71,4.52,4.59,4.76,4.52,4.25,4.24,4.23,4.02,4.01,4.01,4.2,4.2,4.18,4.18,4.17,4.17,4.12,4.13
"Denmark","Chemical products",7.54,7.53,7.64,7.64,7.79,7.63,7.63,7.49,5.88,6.52,5.57,5.24,4.85,5.59,5.34,5.33,5.2,5.23,5.22,4.41,4.39,4.33,5.19,5.16,5.14,5.13,5.14,5.16,5.16,5.13
"Denmark","Machinery and transport equipment",4.92,4.91,5.01,5.01,5.06,5.12,5.02,4.55,3.55,3.54,2.83,2.34,2.28,2.28,2.27,2.27,2.27,2.26,2.22,2.27,2.27,2.26,2.26,2.27,2.27,2.28,2.27,2.27,2.16,2.19
"Denmark","Other manufactured goods",6,5.99,10.33,7.62,7.73,7.67,7.62,7.04,6.41,6.38,5.94,5.53,5.37,5.19,5.58,5.15,4.71,4.69,4.68,4.61,4.61,4.63,4.63,4.64,4.62,4.61,4.59,4.6,4.55,4.56
"Djibouti","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..",32.03,32.03,"..","..",32.86,"..","..",29.26,32.22,"..","..",22.09,"..",22.23,22.23,"..",22.07,"..","..",".."
"Djibouti","Ores and metals","..","..","..","..","..","..","..","..","..","..",30.74,30.74,"..","..",32.49,"..","..",30.72,30.89,"..","..",24.36,"..",24.28,24.28,"..",24.28,"..","..",".."
"Djibouti","Manufactured goods","..","..","..","..","..","..","..","..","..","..",32.11,32.11,"..","..",32.89,"..","..",29.16,32.31,"..","..",21.93,"..",22.09,22.09,"..",21.92,"..","..",".."
"Djibouti","Chemical products","..","..","..","..","..","..","..","..","..","..",30.97,30.97,"..","..",31.21,"..","..",31.16,31.08,"..","..",24.52,"..",24.53,24.53,"..",24.5,"..","..",".."
"Djibouti","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..",32.79,32.79,"..","..",33.3,"..","..",29.18,33,"..","..",21.17,"..",21.64,21.64,"..",21.09,"..","..",".."
"Djibouti","Other manufactured goods","..","..","..","..","..","..","..","..","..","..",32.27,32.27,"..","..",33.35,"..","..",28.38,32.49,"..","..",21.23,"..",21.3,21.3,"..",21.23,"..","..",".."
"Dominica","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",20.25,9.470000000000001,9.48,16.84,13.01,7.93,7.99,7.99,"..","..",7.86,7.86,"..","..",8.68,7.76,8.630000000000001,7.76,"..",7.64,7.64,7.64
"Dominica","Ores and metals","..","..","..","..","..","..","..","..",17.06,3.78,3.79,13.82,13.68,3.67,3.66,3.66,"..","..",3.54,3.54,"..","..",5.42,3.61,5.62,3.61,"..",3.61,3.61,3.61
"Dominica","Manufactured goods","..","..","..","..","..","..","..","..",20.29,9.84,9.85,16.88,12.99,8.210000000000001,8.27,8.27,"..","..",8.15,8.15,"..","..",8.9,8.029999999999999,8.84,8.029999999999999,"..",7.91,7.91,7.91
"Dominica","Chemical products","..","..","..","..","..","..","..","..",14.94,7.17,7.18,11.53,9.26,6.2,6.34,6.34,"..","..",6.27,6.27,"..","..",6.12,6.32,6.17,6.32,"..",6.16,6.16,6.16
"Dominica","Machinery and transport equipment","..","..","..","..","..","..","..","..",18.47,6.72,6.73,15.94,12.39,5.76,5.8,5.8,"..","..",5.79,5.79,"..","..",7.56,5.66,7.51,5.66,"..",5.58,5.58,5.58
"Dominica","Other manufactured goods","..","..","..","..","..","..","..","..",21.6,12.23,12.25,18.02,14.49,10.05,10.09,10.09,"..","..",9.9,9.9,"..","..",10.57,9.75,10.49,9.75,"..",9.609999999999999,9.609999999999999,9.609999999999999
"Dominican Republic","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",7.61,14.13,7.61,7.61,17.5,7.71,7.75,7.75,7.72,7.69,7.69,5.97,7.63,"..",5.97,5.93,5.9,5.9,"..",5.9,5.9,5.9
"Dominican Republic","Ores and metals","..","..","..","..","..","..","..","..",4.51,7.62,4.51,4.51,9.130000000000001,4.52,4.54,4.54,4.57,4.5,4.41,2.33,4.54,"..",2.31,2.3,2.31,2.31,"..",2.31,2.31,2.31
"Dominican Republic","Manufactured goods","..","..","..","..","..","..","..","..",7.82,14.57,7.82,7.82,18.07,7.92,7.96,7.96,7.93,7.91,7.92,6.21,7.84,"..",6.22,6.18,6.14,6.14,"..",6.14,6.14,6.14
"Dominican Republic","Chemical products","..","..","..","..","..","..","..","..",4.28,8.529999999999999,4.28,4.28,10.07,4.45,4.45,4.45,4.44,4.59,4.59,2.28,4.63,"..",2.29,2.27,2.28,2.26,"..",2.26,2.26,2.31
"Dominican Republic","Machinery and transport equipment","..","..","..","..","..","..","..","..",5.63,10.17,5.63,5.63,13.14,5.46,5.46,5.46,5.46,5.44,5.42,3.51,5.32,"..",3.53,3.48,3.47,3.46,"..",3.46,3.46,3.49
"Dominican Republic","Other manufactured goods","..","..","..","..","..","..","..","..",10.14,18.73,10.14,10.14,23.21,10.34,10.42,10.42,10.36,10.29,10.3,8.970000000000001,10.22,"..",8.960000000000001,8.92,8.880000000000001,8.880000000000001,"..",8.880000000000001,8.880000000000001,8.859999999999999
"Ecuador","Manufactured goods, ores and metals","..","..","..","..","..",9.41,12.03,12.65,11.48,11.48,11.5,13.39,11.51,11.51,11.44,11.27,11.45,11.26,11.26,11.26,10.71,9.92,9.92,8.529999999999999,8.550000000000001,"..",8.199999999999999,11.63,12.18,12.13
"Ecuador","Ores and metals","..","..","..","..","..",3.73,6.48,6.49,5.84,5.84,5.89,7.83,5.93,5.93,5.91,5.91,5.88,5.88,5.88,5.88,4.72,0.71,0.71,0.71,0.71,"..",0.71,0.71,0.71,0.71
"Ecuador","Manufactured goods","..","..","..","..","..",9.810000000000001,12.41,13.07,11.84,11.84,11.87,13.76,11.87,11.87,11.82,11.63,11.82,11.63,11.63,11.63,11.11,10.53,10.53,9.060000000000001,9.07,"..",8.699999999999999,12.36,12.95,12.9
"Ecuador","Chemical products","..","..","..","..","..",6.17,7.66,9.48,7.22,7.22,7.25,8.59,7.27,7.27,7.32,7.08,7.32,7.07,7.06,7.06,4.52,2.86,2.87,2.88,2.88,"..",2.95,2.97,2.97,2.97
"Ecuador","Machinery and transport equipment","..","..","..","..","..",6.74,9.529999999999999,10.96,8.9,8.9,8.98,10.81,9.01,9.01,8.67,8.279999999999999,8.68,8.279999999999999,8.300000000000001,8.300000000000001,6.39,5.04,5.02,5.22,5.27,"..",5.91,6.56,8.33,8.33
"Ecuador","Other manufactured goods","..","..","..","..","..",12.56,15.44,15.34,14.92,14.92,14.92,17.05,14.91,14.91,14.93,14.86,14.95,14.85,14.85,14.85,15.8,15.98,15.99,13.2,13.2,"..",12.26,18.72,19.03,18.94
"Egypt","Manufactured goods, ores and metals","..","..","..","..","..","..","..",28.39,"..","..",21.71,21.65,21.65,21.66,66.91,19.71,13.22,12.88,12.88,9.91,9.890000000000001,9.76,9.65,9.65,9.65,9.65,9.710000000000001,9.699999999999999,11.04,12.23
"Egypt","Ores and metals","..","..","..","..","..","..","..",13.84,"..","..",12.81,13.04,13.04,13.04,12.52,11.01,5.99,5.09,5.09,4.37,4.36,4.24,4.22,4.22,4.22,4.22,4.23,4.23,4.23,4.23
"Egypt","Manufactured goods","..","..","..","..","..","..","..",29.38,"..","..",22.34,22.21,22.22,22.23,70.53,20.28,13.71,13.4,13.4,10.28,10.26,10.13,10.02,10.02,10.02,10.02,10.08,10.07,11.5,12.77
"Egypt","Chemical products","..","..","..","..","..","..","..",14.44,"..","..",13.19,14.13,14.13,14.19,12.94,11.17,6.81,6.5,6.5,5.75,5.75,5.58,5,5,5,5,5.07,5.04,5.32,5.56
"Egypt","Machinery and transport equipment","..","..","..","..","..","..","..",19.14,"..","..",12.67,14.09,14.09,14.09,14.5,13.28,8.18,8.01,8.01,6.89,6.86,6.6,6.74,6.74,6.75,6.75,6.83,6.82,7.36,8.49
"Egypt","Other manufactured goods","..","..","..","..","..","..","..",39.36,"..","..",29.26,28.81,28.81,28.81,118.04,26.79,18.79,18.43,18.43,13.56,13.53,13.48,13.45,13.45,13.45,13.45,13.53,13.53,15.81,17.57
"El Salvador","Manufactured goods, ores and metals","..","..","..","..","..","..","..",9.51,8.24,7.44,3.84,6.58,6.59,6.6,6.35,6.67,6.67,5,6.64,4.88,4.88,4.85,4.86,4.87,4.8,4.8,4.79,4.77,"..",4.76
"El Salvador","Ores and metals","..","..","..","..","..","..","..",5.86,3,1.73,1.71,1.12,1.12,1.13,1.02,1.02,1.02,1.02,1.02,1,1,1,1,1,0.98,0.98,0.98,0.98,"..",0.98
"El Salvador","Manufactured goods","..","..","..","..","..","..","..",9.76,8.6,7.83,3.98,6.93,6.95,6.96,6.71,7.05,7.05,5.27,7.02,5.13,5.14,5.11,5.12,5.13,5.06,5.05,5.05,5.02,"..",5.02
"El Salvador","Chemical products","..","..","..","..","..","..","..",6.07,2.87,1.95,1.9,1.46,1.46,1.46,1.52,1.52,1.52,1.52,1.52,1.63,1.61,1.57,1.6,1.6,1.6,1.6,1.59,1.56,"..",1.57
"El Salvador","Machinery and transport equipment","..","..","..","..","..","..","..",4.04,3.79,2.75,2.66,2.19,2.2,2.2,2.15,2.17,2.17,2.16,2.17,2.02,2.02,1.96,1.96,1.96,1.85,1.86,1.85,1.85,"..",1.86
"El Salvador","Other manufactured goods","..","..","..","..","..","..","..",13.57,12.81,12.21,5.37,11.12,11.15,11.16,10.71,11.31,11.32,8.08,11.25,7.89,7.9,7.89,7.9,7.92,7.86,7.86,7.85,7.82,"..",7.8
"Equatorial Guinea","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..",17.35,"..","..",17.29,17.29,"..","..",17.3,"..",17.03,"..","..","..","..","..","..","..","..","..",".."
"Equatorial Guinea","Ores and metals","..","..","..","..","..","..","..","..","..","..",12.03,"..","..",11.71,11.69,"..","..",11.79,"..",11.86,"..","..","..","..","..","..","..","..","..",".."
"Equatorial Guinea","Manufactured goods","..","..","..","..","..","..","..","..","..","..",17.71,"..","..",17.66,17.65,"..","..",17.67,"..",17.38,"..","..","..","..","..","..","..","..","..",".."
"Equatorial Guinea","Chemical products","..","..","..","..","..","..","..","..","..","..",10.47,"..","..",10.76,10.76,"..","..",10.99,"..",10.73,"..","..","..","..","..","..","..","..","..",".."
"Equatorial Guinea","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..",13.83,"..","..",14,14,"..","..",14.07,"..",13.81,"..","..","..","..","..","..","..","..","..",".."
"Equatorial Guinea","Other manufactured goods","..","..","..","..","..","..","..","..","..","..",22.12,"..","..",21.93,21.93,"..","..",21.85,"..",21.59,"..","..","..","..","..","..","..","..","..",".."
"Eritrea","Manufactured goods, ores and metals","_","_","_","_","..","..","..","..","..","..","..","..","..","..",7.36,"..","..","..",7.36,"..","..","..","..","..","..","..","..","..","..",".."
"Eritrea","Ores and metals","_","_","_","_","..","..","..","..","..","..","..","..","..","..",2.31,"..","..","..",2.31,"..","..","..","..","..","..","..","..","..","..",".."
